"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
108,PHARMACOLOGICAL REVIEWS,"12,500",17.395,0.010370
109,GASTROENTEROLOGY,"75,858",17.373,0.104190
110,BEHAVIORAL AND BRAIN SCIENCES,"9,392",17.333,0.008130
110,BEHAVIORAL AND BRAIN SCIENCES,"9,392",17.333,0.008130
112,Alzheimers & Dementia,"16,289",17.127,0.042230
113,Applied Physics Reviews,"3,445",17.054,0.011240
114,REPORTS ON PROGRESS IN PHYSICS,"18,768",17.032,0.032980
115,Nano Today,"8,882",16.907,0.013260
116,ADVANCED FUNCTIONAL MATERIALS,"116,431",16.836,0.214480
117,Wiley Interdisciplinary Reviews-Computational Molecular Science,"5,896",16.778,0.010420
118,Annual Review of Pathology-Mechanisms of Disease,"5,083",16.750,0.009080
119,National Science Review,"2,775",16.693,0.009770
120,APPLIED CATALYSIS B-ENVIRONMENTAL,"97,041",16.683,0.120600
121,Nature Reviews Rheumatology,"8,803",16.625,0.020810
122,Nano Energy,"52,300",16.602,0.115870
123,Annual Review of Public Health,"7,435",16.463,0.012840
123,Annual Review of Public Health,"7,435",16.463,0.012840
125,ADVANCES IN PHYSICS,"5,718",16.375,0.004950
126,Annual Review of Marine Science,"4,445",16.359,0.009100
127,Annual Review of Fluid Mechanics,"13,312",16.306,0.010730
128,Science Translational Medicine,"34,479",16.304,0.116150
129,Lancet Public Health,"1,826",16.292,0.009640
129,Lancet Public Health,"1,826",16.292,0.009640
131,Energy Storage Materials,"8,456",16.280,0.016400
132,Lancet Psychiatry,"6,405",16.209,0.028330
132,Lancet Psychiatry,"6,405",16.209,0.028330
134,ANNALS OF THE RHEUMATIC DISEASES,"45,865",16.102,0.073050
135,TRENDS IN CELL BIOLOGY,"15,395",16.041,0.034730
136,DIABETES CARE,"70,314",16.019,0.087870
137,ASTRONOMY AND ASTROPHYSICS REVIEW,"2,002",16.000,0.002890
138,Cell Host & Microbe,"20,501",15.923,0.064680
139,Advanced Science,"14,599",15.840,0.039540
140,MOLECULAR CELL,"69,148",15.584,0.166190
141,Annual Review of Biomedical Engineering,"4,698",15.541,0.004900
142,Nature Microbiology,"8,230",15.540,0.041540
143,FUNGAL DIVERSITY,"4,577",15.386,0.006950
144,COORDINATION CHEMISTRY REVIEWS,"36,208",15.367,0.036840
145,Molecular Cancer,"15,448",15.302,0.024010
146,TRENDS IN COGNITIVE SCIENCES,"27,698",15.218,0.036110
146,TRENDS IN COGNITIVE SCIENCES,"27,698",15.218,0.036110
148,PROGRESS IN LIPID RESEARCH,"6,139",15.083,0.005720
149,Journal of Extracellular Vesicles,"4,809",14.976,0.012290
150,PSYCHOTHERAPY AND PSYCHOSOMATICS,"4,275",14.864,0.006490
150,PSYCHOTHERAPY AND PSYCHOSOMATICS,"4,275",14.864,0.006490
152,PROGRESS IN RETINAL AND EYE RESEARCH,"7,056",14.860,0.010050
153,Annual Review of Condensed Matter Physics,"3,172",14.833,0.012180
154,Lancet HIV,"3,301",14.813,0.018120
155,Lancet Gastroenterology & Hepatology,"2,858",14.789,0.012570
155,Physics of Life Reviews,"1,627",14.789,0.003160
157,TRENDS IN ECOLOGY & EVOLUTION,"38,177",14.764,0.032380
158,TRENDS IN BIOCHEMICAL SCIENCES,"18,417",14.732,0.032050
159,Advances in Optics and Photonics,"2,806",14.690,0.005310
160,HEPATOLOGY,"65,758",14.679,0.091580
161,Annual Review of Cell and Developmental Biology,"10,057",14.667,0.016730
162,ENDOCRINE REVIEWS,"13,717",14.661,0.009320
163,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"556,240",14.612,0.629870
164,ACS Nano,"166,989",14.588,0.320020
165,JOURNAL OF PINEAL RESEARCH,"10,537",14.528,0.009440
166,CIRCULATION RESEARCH,"51,539",14.467,0.071480
167,INTERNATIONAL MATERIALS REVIEWS,"5,950",14.429,0.004790
168,TRENDS IN PLANT SCIENCE,"23,935",14.416,0.025110
169,NEURON,"95,056",14.415,0.199820
170,TRENDS IN BIOTECHNOLOGY,"17,028",14.343,0.018370
171,International Review of Sport and Exercise Psychology,"1,058",14.333,0.001510
172,ACTA NEUROPATHOLOGICA,"21,910",14.256,0.040800
173,AMERICAN JOURNAL OF PSYCHIATRY,"41,967",14.119,0.034440
173,AMERICAN JOURNAL OF PSYCHIATRY,"41,967",14.119,0.034440
175,Annual Review of Ecology Evolution and Systematics,"20,714",14.041,0.011550
176,JAMA Pediatrics,"9,795",13.946,0.045130
177,IMMUNOLOGICAL REVIEWS,"15,973",13.939,0.026680
178,FEMS MICROBIOLOGY REVIEWS,"13,478",13.920,0.016240
179,Annual Review of Entomology,"13,152",13.796,0.009460
180,Light-Science & Applications,"7,659",13.714,0.024540
181,Annual Review of Clinical Psychology,"6,125",13.692,0.009580
181,Annual Review of Clinical Psychology,"6,125",13.692,0.009580
183,Information Fusion,"6,409",13.669,0.011290
184,Journal of Statistical Software,"25,372",13.642,0.053140
185,JAMA Surgery,"8,471",13.625,0.038340
186,JAMA Neurology,"10,471",13.608,0.043130
187,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"26,879",13.606,0.091770
188,IEEE Industrial Electronics Magazine,"1,801",13.593,0.003830
189,Nature Geoscience,"26,568",13.566,0.068280
190,TRENDS IN MICROBIOLOGY,"13,606",13.546,0.022810
191,TRENDS IN PHARMACOLOGICAL SCIENCES,"13,034",13.503,0.017770
192,MALACOLOGIA,967,13.500,0.000730
193,Signal Transduction and Targeted Therapy,"1,182",13.493,0.003380
194,Science Immunology,"2,516",13.440,0.015080
195,TRENDS IN IMMUNOLOGY,"13,037",13.422,0.024980
196,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,733",13.421,0.006750
197,Journal of Thoracic Oncology,"18,136",13.357,0.038270
198,ADVANCED DRUG DELIVERY REVIEWS,"36,796",13.300,0.033200
199,Nature Plants,"5,923",13.256,0.027720
200,Science Advances,"36,381",13.117,0.172220
201,IEEE Geoscience and Remote Sensing Magazine,"1,304",13.000,0.003710
202,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"351,236",12.959,0.550880
203,TRENDS IN NEUROSCIENCES,"20,012",12.891,0.021250
204,Kidney International Supplements,"2,001",12.818,0.002210
205,JAMA Cardiology,"4,740",12.794,0.030180
206,JACC-Cardiovascular Imaging,"10,110",12.740,0.027670
207,ACS Central Science,"6,667",12.685,0.026850
208,HUMAN REPRODUCTION UPDATE,"9,679",12.684,0.012620
209,BRITISH JOURNAL OF SPORTS MEDICINE,"23,370",12.680,0.039960
210,Annual Review of Phytopathology,"8,104",12.623,0.007620
211,Nature Chemical Biology,"22,085",12.587,0.060130
212,Physical Review X,"16,532",12.577,0.087230
213,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"12,355",12.568,0.009130
214,Nature Ecology & Evolution,"6,173",12.543,0.031390
215,Annual Review of Materials Research,"8,346",12.531,0.006830
216,Annual Review of Neuroscience,"13,212",12.528,0.012760
217,MOLECULAR PSYCHIATRY,"22,227",12.384,0.054790
218,ACS Catalysis,"70,712",12.350,0.172550
219,EUROPEAN RESPIRATORY JOURNAL,"38,531",12.339,0.063090
220,Ocular Surface,"2,919",12.336,0.005920
221,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"6,700",12.321,0.007030
222,Materials Horizons,"6,332",12.319,0.017420
223,Nature Human Behaviour,"2,457",12.282,0.014210
223,Nature Human Behaviour,"2,457",12.282,0.014210
225,Nano-Micro Letters,"3,393",12.264,0.005790
226,Small Methods,"3,528",12.130,0.008960
227,Nature Communications,"312,602",12.121,1.260840
228,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"105,054",12.110,0.157170
229,BIOLOGICAL PSYCHIATRY,"44,016",12.095,0.053980
230,Molecular Plant,"11,432",12.084,0.028590
231,Nature Sustainability,"1,423",12.080,0.005080
231,Nature Sustainability,"1,423",12.080,0.005080
233,NATURAL PRODUCT REPORTS,"11,240",12.000,0.013630
234,BASIC RESEARCH IN CARDIOLOGY,"4,704",11.981,0.006390
235,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,178",11.980,0.056790
236,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"4,113",11.952,0.003600
237,JOURNAL OF CLINICAL INVESTIGATION,"109,020",11.864,0.125900
238,Academy of Management Annals,"4,227",11.750,0.009470
239,JOURNAL OF EXPERIMENTAL MEDICINE,"63,563",11.743,0.067380
240,Annual Review of Biophysics,"3,014",11.685,0.007440
241,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"9,712",11.641,0.016510
242,EUROPEAN JOURNAL OF HEART FAILURE,"12,784",11.627,0.028740
243,Microbiome,"7,321",11.607,0.028700
244,JNCI-Journal of the National Cancer Institute,"36,018",11.577,0.045510
245,Nature Astronomy,"3,020",11.518,0.012680
246,Bone Research,"1,679",11.508,0.004080
247,NUCLEIC ACIDS RESEARCH,"201,664",11.502,0.403380
248,Small,"60,569",11.459,0.111310
249,SIAM REVIEW,"9,060",11.431,0.008690
250,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"20,101",11.420,0.040240
251,IEEE WIRELESS COMMUNICATIONS,"8,140",11.391,0.017050
252,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"3,469",11.389,0.001150
253,QUARTERLY JOURNAL OF ECONOMICS,"29,585",11.375,0.055720
254,IEEE SIGNAL PROCESSING MAGAZINE,"11,566",11.350,0.015950
255,BRAIN,"53,283",11.337,0.067130
256,TRENDS IN GENETICS,"12,534",11.333,0.022010
257,Journal of Materials Chemistry A,"154,853",11.301,0.316680
258,Annual Review of Pharmacology and Toxicology,"7,812",11.250,0.007980
259,NANO LETTERS,"165,521",11.238,0.279290
260,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"15,581",11.169,0.011770
261,MEDICAL IMAGE ANALYSIS,"9,028",11.148,0.017230
262,Annual Review of Genetics,"7,800",11.146,0.009700
263,TRENDS IN MOLECULAR MEDICINE,"10,618",11.099,0.018730
264,GENOME RESEARCH,"41,756",11.093,0.076950
264,Trends in Cancer,"2,351",11.093,0.010150
266,SEMINARS IN CANCER BIOLOGY,"8,310",11.090,0.011750
267,IEEE Transactions on Cybernetics,"17,681",11.079,0.052510
268,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"18,701",11.077,0.019250
269,MOLECULAR BIOLOGY AND EVOLUTION,"50,495",11.062,0.084760
270,Journal of Hematology & Oncology,"6,732",11.059,0.015560
271,IEEE COMMUNICATIONS MAGAZINE,"25,020",11.052,0.052390
272,Annual Review of Microbiology,"10,134",11.000,0.009480
272,DRUG RESISTANCE UPDATES,"3,165",11.000,0.004220
272,Nature Reviews Urology,"3,761",11.000,0.008810
275,Annual Review of Nutrition,"5,766",10.897,0.005070
276,THORAX,"21,856",10.844,0.027130
277,GENOME BIOLOGY,"44,222",10.806,0.134040
278,Annual Review of Organizational Psychology and Organizational Behavior,"1,505",10.795,0.007410
279,ENTREPRENEURSHIP THEORY AND PRACTICE,"11,864",10.750,0.007680
280,BIOTECHNOLOGY ADVANCES,"19,321",10.744,0.019250
281,CELL DEATH AND DIFFERENTIATION,"21,095",10.717,0.029740
282,BIOLOGICAL REVIEWS,"13,493",10.701,0.019480
283,Genome Medicine,"6,463",10.675,0.026530
284,Laser & Photonics Reviews,"7,354",10.655,0.016290
285,CHEMICAL ENGINEERING JOURNAL,"129,806",10.652,0.154660
286,Annual Review of Physical Chemistry,"8,511",10.638,0.008570
287,AGEING RESEARCH REVIEWS,"7,292",10.616,0.013700
288,Journal of Industrial Information Integration,592,10.615,0.000980
289,PHARMACOLOGY & THERAPEUTICS,"16,615",10.557,0.023500
290,AMERICAN JOURNAL OF HUMAN GENETICS,"36,785",10.502,0.060140
291,PLOS MEDICINE,"32,312",10.500,0.066080
292,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"18,470",10.466,0.027400
292,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"18,470",10.466,0.027400
294,Materials Today Physics,814,10.443,0.002070
295,Reviews in Mineralogy & Geochemistry,"6,127",10.438,0.004710
296,Nature Protocols,"42,810",10.419,0.068030
297,SYSTEMATIC BIOLOGY,"16,502",10.408,0.018780
298,Lancet Haematology,"2,446",10.406,0.011080
299,BIOMATERIALS,"108,070",10.317,0.089210
300,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"5,796",10.312,0.004560
301,BIOSENSORS & BIOELECTRONICS,"62,284",10.257,0.086070
302,CLINICAL PSYCHOLOGY REVIEW,"17,219",10.255,0.020690
303,Journal for ImmunoTherapy of Cancer,"4,557",10.252,0.016060
303,PROCEEDINGS OF THE IEEE,"33,312",10.252,0.028320
305,NEURO-ONCOLOGY,"12,950",10.247,0.029090
306,Dialogues in Human Geography,747,10.231,0.001710
307,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"52,417",10.228,0.077470
308,AMERICAN JOURNAL OF GASTROENTEROLOGY,"32,469",10.171,0.037570
309,Protein & Cell,"3,772",10.164,0.009950
310,ANNALS OF SURGERY,"50,639",10.130,0.061480
311,CLINICAL CANCER RESEARCH,"85,288",10.107,0.131690
312,DEVELOPMENTAL CELL,"29,445",10.092,0.065600
313,Redox Biology,"10,157",9.986,0.023790
314,IEEE Internet of Things Journal,"12,832",9.936,0.022680
315,Nanoscale Horizons,"1,774",9.927,0.003610
316,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"15,404",9.922,0.015080
317,PSYCHOLOGICAL INQUIRY,"4,938",9.917,0.003860
318,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,"6,975",9.912,0.008660
318,JOURNAL OF ECONOMIC PERSPECTIVES,"13,524",9.912,0.022100
320,EMBO JOURNAL,"64,726",9.889,0.059650
321,Journal of Cachexia Sarcopenia and Muscle,"3,553",9.802,0.007860
322,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"18,843",9.801,0.023140
323,ANGIOGENESIS,"3,571",9.780,0.005480
324,Optica,"9,728",9.778,0.046590
325,Autophagy,"18,015",9.770,0.030620
326,CANCER RESEARCH,"135,754",9.727,0.118790
327,EARTH-SCIENCE REVIEWS,"20,242",9.724,0.033800
328,Liver Cancer,"1,131",9.720,0.002670
329,Annual Review of Medicine,"6,267",9.716,0.009400
330,CURRENT OPINION IN CHEMICAL BIOLOGY,"10,971",9.689,0.017780
331,SURFACE SCIENCE REPORTS,"4,478",9.688,0.002490
332,PLANT CELL,"54,927",9.618,0.048730
333,SLEEP MEDICINE REVIEWS,"8,072",9.607,0.013000
334,CURRENT BIOLOGY,"63,258",9.601,0.133290
335,LAB ANIMAL,732,9.600,0.001320
336,Molecular Neurodegeneration,"4,936",9.599,0.011840
337,Arthritis & Rheumatology,"12,256",9.586,0.048740
338,MOLECULAR ASPECTS OF MEDICINE,"6,207",9.577,0.005750
339,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"4,130",9.571,0.004530
340,CHEMISTRY OF MATERIALS,"111,299",9.567,0.152630
341,Annual Review of Chemical and Biomolecular Engineering,"1,904",9.561,0.003590
342,GENES & DEVELOPMENT,"55,198",9.527,0.063060
343,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"16,974",9.518,0.025300
344,Science Bulletin,"5,172",9.511,0.014170
345,GREEN CHEMISTRY,"49,706",9.480,0.064240
346,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"676,445",9.412,0.932630
347,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"24,814",9.384,0.034050
348,PROGRESS IN NEUROBIOLOGY,"12,793",9.371,0.011250
349,Chemical Science,"51,683",9.346,0.137360
350,npj Computational Materials,"2,052",9.341,0.007150
351,IEEE TRANSACTIONS ON IMAGE PROCESSING,"47,814",9.340,0.079450
352,npj 2D Materials and Applications,719,9.324,0.002760
353,Journal of the National Comprehensive Cancer Network,"6,912",9.316,0.020050
354,IEEE Transactions on Systems Man Cybernetics-Systems,"12,083",9.309,0.022090
355,MEDICINAL RESEARCH REVIEWS,"4,975",9.300,0.005340
356,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"11,288",9.295,0.015030
357,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"39,047",9.274,0.057720
358,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,"11,757",9.219,0.010410
359,Earth System Science Data,"3,388",9.197,0.013780
360,SEMINARS IN IMMUNOLOGY,"5,345",9.186,0.010230
361,ISME Journal,"26,477",9.180,0.051760
362,Analytic Methods in Accident Research,881,9.179,0.003180
363,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"15,273",9.158,0.007520
364,JACC-Heart Failure,"4,117",9.140,0.019220
365,WATER RESEARCH,"99,442",9.130,0.081170
366,IEEE Transactions on Industrial Informatics,"18,363",9.112,0.035300
367,Annual Review of Earth and Planetary Sciences,"8,732",9.089,0.008590
368,REMOTE SENSING OF ENVIRONMENT,"62,697",9.085,0.057490
369,IEEE Computational Intelligence Magazine,"1,538",9.083,0.002780
370,FRONTIERS IN NEUROENDOCRINOLOGY,"4,490",9.044,0.007060
371,JOURNAL OF HAZARDOUS MATERIALS,"110,068",9.038,0.070280
372,ANNALS OF NEUROLOGY,"37,304",9.037,0.044170
373,STUDIES IN MYCOLOGY,"3,400",9.027,0.004270
374,Molecular Systems Biology,"8,914",8.991,0.017390
375,BRIEFINGS IN BIOINFORMATICS,"7,545",8.990,0.015200
376,MOLECULAR THERAPY,"17,977",8.986,0.030970
377,Annual Review of Food Science and Technology,"2,185",8.960,0.003310
378,KIDNEY INTERNATIONAL,"43,892",8.945,0.044360
379,PROGRESS IN AEROSPACE SCIENCES,"4,324",8.940,0.005160
380,Social Issues and Policy Review,618,8.938,0.001720
381,GENETICS IN MEDICINE,"13,046",8.904,0.040940
382,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"2,769",8.892,0.002730
383,MASS SPECTROMETRY REVIEWS,"4,059",8.887,0.003910
384,CANCER TREATMENT REVIEWS,"9,427",8.885,0.017830
385,JOURNAL OF MANAGEMENT,"24,203",8.852,0.021900
386,APPLIED ENERGY,"98,570",8.848,0.148360
387,CARBON,"86,891",8.821,0.088280
387,EMBO Molecular Medicine,"8,366",8.821,0.022780
389,JOURNAL OF CELL BIOLOGY,"66,931",8.811,0.066580
390,IEEE NETWORK,"5,098",8.808,0.010690
391,IEEE Transactions on Neural Networks and Learning Systems,"27,880",8.793,0.048650
392,Annual Review of Nuclear and Particle Science,"2,593",8.778,0.003070
393,NEUROLOGY,"90,213",8.770,0.103670
394,ACS Applied Materials & Interfaces,"214,885",8.758,0.424800
395,Cancer Immunology Research,"6,969",8.728,0.026470
396,Bioactive Materials,859,8.724,0.001650
397,ALLERGY,"18,217",8.706,0.024360
398,MOVEMENT DISORDERS,"27,638",8.679,0.031170
399,Cell Systems,"3,822",8.673,0.029320
400,ECOLOGY LETTERS,"34,488",8.665,0.039170
400,LEUKEMIA,"25,819",8.665,0.048690
402,Journal of Crohns & Colitis,"8,670",8.658,0.022890
403,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,"4,478",8.631,0.003970
404,Theranostics,"12,995",8.579,0.029780
405,MATRIX BIOLOGY,"6,878",8.572,0.011930
406,GLOBAL CHANGE BIOLOGY,"45,069",8.555,0.074370
407,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,746",8.552,0.004680
408,SPORTS MEDICINE,"18,114",8.551,0.025390
409,Clinical Gastroenterology and Hepatology,"18,281",8.549,0.037320
410,Lancet Child & Adolescent Health,979,8.543,0.004850
411,NEW PHYTOLOGIST,"57,929",8.512,0.082100
412,Cellular & Molecular Immunology,"4,604",8.484,0.010000
413,OPHTHALMOLOGY,"38,634",8.470,0.045420
414,ACTA NUMERICA,"2,068",8.455,0.003290
415,JACC-Cardiovascular Interventions,"11,371",8.432,0.037440
416,PSYCHOLOGICAL METHODS,"13,193",8.430,0.012290
417,Environmental Innovation and Societal Transitions,"2,103",8.400,0.003800
417,Environmental Innovation and Societal Transitions,"2,103",8.400,0.003800
419,PHYSICAL REVIEW LETTERS,"443,088",8.385,0.514800
420,ACADEMY OF MANAGEMENT REVIEW,"35,925",8.365,0.009940
421,CURRENT OPINION IN PLANT BIOLOGY,"14,836",8.356,0.022720
422,Applied Materials Today,"2,756",8.352,0.006130
423,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,"1,656",8.344,0.001620
424,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,868",8.341,0.034470
425,Advances in Applied Mechanics,"1,504",8.333,0.000280
426,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"28,871",8.329,0.051980
